"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"08:02:17 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"08:02:36 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"08:02:57 AM","1st 20:00",NA,NA,NA,NA,NA,NA,"NCAA"
"08:03:20 AM","1st 19:23",NA,NA,NA,NA,NA,NA,"NCAA"
"08:03:41 AM","1st 19:23",NA,NA,NA,NA,NA,NA,"NCAA"
"08:04:01 AM","1st 18:44","First Half","4","132","2.58","1.46","3.5","NCAA"
"08:04:25 AM","1st 18:44","First Half","7","132","2.58","1.46","3.5","NCAA"
"08:04:46 AM","1st 18:00","First Half","9","134.5","3.16","1.33","7","NCAA"
"08:05:01 AM","1st 17:48","First Half","9","134.5","3.16","1.33","7","NCAA"
"08:05:21 AM","1st 17:41","First Half","11","135.5","3.26","1.31","6.5","NCAA"
"08:05:41 AM","1st 17:11","First Half","13","135.5","3.26","1.31","6.5","NCAA"
"08:06:01 AM","1st 17:11","First Half","13","134.5","3.14","1.33","7","NCAA"
"08:06:41 AM","1st 16:31","First Half","13","134","3.14","1.33","6.5","NCAA"
"08:07:04 AM","1st 16:23","First Half","13","134","3.14","1.33","6.5","NCAA"
"08:07:21 AM","1st 16:23","First Half","15","133","3.7","1.25","8","NCAA"
"08:07:40 AM","1st 15:50","First Half","15","133","3.7","1.25","8","NCAA"
"08:08:02 AM","1st 15:50","First Half","15","133.5","4","1.22","9.5","NCAA"
"08:08:22 AM","1st 15:15","First Half","17","133.5","4","1.22","9.5","NCAA"
"08:08:40 AM","1st 14:49","First Half","20","135.5","3.45","1.28","8","NCAA"
"08:09:00 AM","1st 14:49","First Half","20","135.5","3.45","1.28","8","NCAA"
"08:09:20 AM","1st 14:14","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:09:42 AM","1st 14:14","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:10:00 AM","1st 13:48","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:10:23 AM","1st 13:48","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:10:41 AM","1st 13:48","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:11:02 AM","1st 13:48","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:11:27 AM","1st 13:48","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:11:43 AM","1st 13:48","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:12:00 AM","1st 13:48","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:12:21 AM","1st 13:48","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:12:44 AM","1st 13:48","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:13:00 AM","1st 13:36","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:13:19 AM","1st 13:12","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:13:44 AM","1st 13:12","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:14:03 AM","1st 12:14","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:14:23 AM","1st 12:46","First Half","20","133","3.1","1.34","6.5","NCAA"
"08:14:39 AM","1st 11:51","First Half","27","133.5","2.89","1.38","6","NCAA"
"08:14:58 AM","1st 11:51","First Half","27","133.5","2.89","1.38","6","NCAA"
"08:15:21 AM","1st 11:51","First Half","27","133.5","2.89","1.38","6","NCAA"
"08:15:41 AM","1st 11:51","First Half","27","133.5","2.89","1.38","6","NCAA"
"08:16:00 AM","1st 11:51","First Half","27","135.5","3.7","1.25","8","NCAA"
"08:16:26 AM","1st 11:51","First Half","29","135.5","3.7","1.25","8","NCAA"
"08:16:41 AM","1st 11:51","First Half","29","135.5","3.7","1.25","8","NCAA"
"08:17:05 AM","1st 11:51","First Half","29","135.5","3.7","1.25","8","NCAA"
"08:17:25 AM","1st 11:51","First Half","29","136.5","3.32","1.3","8","NCAA"
"08:17:45 AM","1st 11:41","First Half","29","136.5","3.32","1.3","8","NCAA"
"08:18:03 AM","1st 11:41","First Half","29","133","3.45","1.28","7.5","NCAA"
"08:18:24 AM","1st 11:41","First Half","29","133","3.45","1.28","7.5","NCAA"
"08:18:43 AM","1st 11:04","First Half","29","133","4.6","1.17","9.5","NCAA"
"08:19:04 AM","1st 11:04","First Half","31","133","4.6","1.17","9.5","NCAA"
"08:19:24 AM","1st 11:04","First Half","36","142","3.4","1.28","7","NCAA"
"08:19:39 AM","1st 10:31","First Half","36","142","3.4","1.28","7","NCAA"
"08:20:00 AM","1st 10:31","First Half","36","140","3.35","1.3","7","NCAA"
"08:20:27 AM","1st 10:02","First Half","36","140","3.35","1.3","7","NCAA"
"08:20:43 AM","1st 10:02","First Half","36","137.5","3.45","1.28","7","NCAA"
"08:21:01 AM","1st 9:45","First Half","36","137.5","3.45","1.28","7","NCAA"
"08:21:27 AM","1st 9:45","First Half","40","138.5","3.07","1.34","5.5","NCAA"
"08:21:41 AM","1st 9:25","First Half","40","138.5","3.07","1.34","5.5","NCAA"
"08:22:00 AM","1st 8:56","First Half","40","135.5","3.06","1.34","6","NCAA"
"08:22:20 AM","1st 8:39","First Half","40","135.5","3.06","1.34","6","NCAA"
"08:22:40 AM","1st 8:39","First Half","40","139.5","3.14","1.33","6.5","NCAA"
"08:23:01 AM","1st 8:39","First Half","42","139.5","3.14","1.33","6.5","NCAA"
"08:23:20 AM","1st 8:39","First Half","42","138.5","2.66","1.44","4.5","NCAA"
"08:23:42 AM","1st 8:39","First Half","42","138.5","2.66","1.44","4.5","NCAA"
"08:23:59 AM","1st 8:14","First Half","42","139.5","2.94","1.37","5","NCAA"
