"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"07:30:26 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:30:49 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:06 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:28 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:31:45 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:06 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:27 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:32:48 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:08 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:26 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:33:49 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:05 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:30 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:34:50 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:07 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:26 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:35:46 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:08 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:25 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:36:45 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:06 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:27 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:37:48 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:06 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:27 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:38:46 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:07 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:26 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:39:46 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:08 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:26 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:40:46 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:06 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:26 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:41:46 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:11 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:29 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:42:46 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:06 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:26 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:43:52 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:06 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:27 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:44:46 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:08 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:27 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:45:48 AM","Feb 16-6:00 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:06 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:26 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"07:46:47 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
