"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"05:40:53 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:41:13 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:41:30 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:41:50 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:42:11 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:42:32 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:42:54 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:43:13 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:43:30 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:43:50 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:44:09 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:44:31 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:44:53 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:45:10 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:45:29 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:45:54 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:46:11 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:46:30 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:46:52 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:47:10 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:47:34 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:47:56 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:12 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:33 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:48:50 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:13 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:30 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:49:52 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:50:14 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:50:30 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:50:50 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:51:16 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:51:31 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:51:53 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:52:12 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:52:31 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:52:50 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:13 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:32 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:53:50 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:54:10 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:54:32 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:54:51 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:55:13 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:55:31 AM","Mar 18-5:10 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"05:55:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:56:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:56:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:56:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:57:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:58:12 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:58:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:58:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:59:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:59:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"05:59:48 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:00:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:00:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:00:50 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:01:19 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:01:29 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:01:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:02:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:02:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:02:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:03:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:03:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:03:52 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:04:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:04:34 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:04:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:05:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:05:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:05:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:06:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:06:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:06:49 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:07:10 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:07:30 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:07:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:08:09 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:08:31 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:08:51 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:09:13 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:09:33 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:09:54 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:10:11 AM","Pre-game",NA,NA,NA,NA,NA,NA,"NCAA"
"06:14:30 AM","1st 18:37","First Half","0","149.5","3.32","1.3","6.5","NCAA"
"06:14:51 AM","1st 18:37","First Half","0","149.5","3.32","1.3","6.5","NCAA"
"06:15:14 AM","1st 17:49","First Half","0","149","4","1.22","7.5","NCAA"
"06:15:31 AM","1st 17:49","First Half","0","149","4","1.22","7.5","NCAA"
"06:15:53 AM","1st 17:34","First Half","4","150.5","2.94","1.37","5.5","NCAA"
"06:16:12 AM","1st 17:19","First Half","4","150.5","2.94","1.37","5.5","NCAA"
"06:16:31 AM","1st 17:19","First Half","4","151","3.7","1.25","7.5","NCAA"
"06:16:56 AM","1st 17:04","First Half","4","151","3.7","1.25","7.5","NCAA"
"06:17:11 AM","1st 17:04","First Half","9","152","3.7","1.25","6.5","NCAA"
"06:17:33 AM","1st 16:27","First Half","9","152","3.7","1.25","6.5","NCAA"
"06:17:50 AM","1st 16:27","First Half","9","152","2.92","1.37","5.5","NCAA"
"06:18:12 AM","1st 16:07","First Half","9","152","2.92","1.37","5.5","NCAA"
"06:18:35 AM","1st 15:35","First Half","13","152.5","2.92","1.37","5.5","NCAA"
"06:18:51 AM","1st 15:49","First Half","13","152.5","2.92","1.37","5.5","NCAA"
"06:19:12 AM","1st 15:35","First Half","13","152.5","2.92","1.37","5.5","NCAA"
"06:19:33 AM","1st 15:35","First Half","13","152.5","2.92","1.37","5.5","NCAA"
"06:19:50 AM","1st 15:35","First Half","13","152.5","2.92","1.37","5.5","NCAA"
"06:20:12 AM","1st 15:35","First Half","13","152.5","2.92","1.37","5.5","NCAA"
"06:20:31 AM","1st 15:35","First Half","13","152.5","2.92","1.37","5.5","NCAA"
"06:20:51 AM","1st 15:35","First Half","13","152.5","2.92","1.37","5.5","NCAA"
"06:21:15 AM","1st 15:35","First Half","13","153.5","3.06","1.34","5.5","NCAA"
"06:21:30 AM","1st 15:35","First Half","13","153.5","3.06","1.34","5.5","NCAA"
"06:21:50 AM","1st 15:35","First Half","13","152","3.04","1.35","6.5","NCAA"
"06:22:14 AM","1st 15:35","First Half","13","152","3.04","1.35","6.5","NCAA"
"06:22:34 AM","1st 15:35","First Half","13","150","2.83","1.39","4.5","NCAA"
"06:22:50 AM","1st 15:23","First Half","14","150","2.83","1.39","4.5","NCAA"
"06:23:11 AM","1st 15:23","First Half","14","156","2.5","1.49","3.5","NCAA"
"06:23:34 AM","1st 15:07","First Half","21","156","2.5","1.49","3.5","NCAA"
"06:23:51 AM","1st 14:35","First Half","21","157.5","2.49","1.49","4.5","NCAA"
"06:24:12 AM","1st 14:35","First Half","21","157.5","2.49","1.49","4.5","NCAA"
"06:24:31 AM","1st 14:14","First Half","21","156","2.69","1.43","4.5","NCAA"
"06:24:50 AM","1st 14:03","First Half","21","156","2.69","1.43","4.5","NCAA"
"06:25:13 AM","1st 13:35","First Half","24","158.5","2.5","1.49","3.5","NCAA"
"06:25:30 AM","1st 13:35","First Half","24","158.5","2.5","1.49","3.5","NCAA"
"06:25:50 AM","1st 13:35","First Half","24","155","2.42","1.52","3.5","NCAA"
"06:26:12 AM","1st 13:35","First Half","24","155","2.42","1.52","3.5","NCAA"
"06:26:31 AM","1st 13:02","First Half","25","155","2.42","1.52","3.5","NCAA"
"06:26:50 AM","1st 13:02","First Half","25","155","2.42","1.52","3.5","NCAA"
"06:27:14 AM","1st 13:02","First Half","25","153.5","2.33","1.56","3.5","NCAA"
"06:27:32 AM","1st 13:02","First Half","25","153.5","2.33","1.56","3.5","NCAA"
"06:27:51 AM","1st 12:31","First Half","27","152","2.14","1.65","0.5","NCAA"
"06:28:17 AM","1st 12:31","First Half","27","152","2.14","1.65","0.5","NCAA"
"06:28:31 AM","1st 12:13","First Half","27","154.5","2.15","1.65","2.5","NCAA"
"06:28:51 AM","1st 12:13","First Half","27","154.5","2.15","1.65","2.5","NCAA"
"06:29:13 AM","1st 12:13","First Half","27","154.5","2.15","1.65","2.5","NCAA"
"06:29:31 AM","1st 11:53","First Half","27","154.5","2.15","1.65","2.5","NCAA"
"06:29:55 AM","1st 11:53","First Half","27","154.5","2.15","1.65","2.5","NCAA"
"06:30:16 AM","1st 11:53","First Half","27","154.5","2.15","1.65","2.5","NCAA"
"06:30:33 AM","1st 11:53","First Half","27","154.5","2.15","1.65","2.5","NCAA"
"06:30:51 AM","1st 11:53","First Half","27","154.5","2.15","1.65","2.5","NCAA"
"06:31:17 AM","1st 11:53","First Half","27","151.5","2.2","1.62","2.5","NCAA"
"06:31:32 AM","1st 11:53","First Half","27","151.5","2.2","1.62","2.5","NCAA"
"06:31:53 AM","1st 11:53","First Half","27","154.5","2.05","1.71","0.5","NCAA"
"06:32:19 AM","1st 11:53","First Half","27","154.5","2.05","1.71","0.5","NCAA"
"06:32:30 AM","1st 11:53","First Half","27","150.5","2.03","1.73","0.5","NCAA"
"06:32:55 AM","1st 11:53","First Half","27","150.5","2.03","1.73","0.5","NCAA"
"06:33:23 AM","1st 11:15","First Half","30","152","1.78","1.95","1.5","NCAA"
"06:33:31 AM","1st 11:25","First Half","30","152","1.78","1.95","1.5","NCAA"
"06:33:56 AM","1st 10:46","First Half","30","152","1.78","1.95","1.5","NCAA"
"06:34:12 AM","1st 10:46","First Half","30","152","1.78","1.95","1.5","NCAA"
"06:34:35 AM","1st 10:46","First Half","30","152","1.78","1.95","1.5","NCAA"
"06:34:51 AM","1st 10:46","First Half","30","152","1.78","1.95","1.5","NCAA"
"06:35:16 AM","1st 10:46","First Half","30","152","1.78","1.95","1.5","NCAA"
"06:35:30 AM","1st 10:46","First Half","30","152","1.78","1.95","1.5","NCAA"
"06:35:51 AM","1st 10:46","First Half","30","152.5","1.79","1.94","1.5","NCAA"
"06:36:15 AM","1st 10:46","First Half","30","152.5","1.79","1.94","1.5","NCAA"
"06:36:34 AM","1st 10:46","First Half","30","152","1.81","1.92","1.5","NCAA"
"06:36:53 AM","1st 10:46","First Half","30","152","1.81","1.92","1.5","NCAA"
"06:37:13 AM","1st 10:46","First Half","30","153","1.66","2.13","2.5","NCAA"
"06:37:30 AM","1st 10:46","First Half","30","153","1.66","2.13","2.5","NCAA"
"06:37:54 AM","1st 10:25","First Half","30","150.5","1.53","2.39","3.5","NCAA"
"06:38:12 AM","1st 10:11","First Half","30","150.5","1.53","2.39","3.5","NCAA"
"06:38:37 AM","1st 10:11","First Half","34","153","1.45","2.64","4.5","NCAA"
"06:38:52 AM","1st 9:41","First Half","34","153","1.45","2.64","4.5","NCAA"
"06:39:14 AM","1st 9:41","First Half","34","153","1.45","2.64","4.5","NCAA"
"06:39:30 AM","1st 9:41","First Half","34","153","1.45","2.64","4.5","NCAA"
"06:39:53 AM","1st 9:05","First Half","34","152","1.48","2.53","3.5","NCAA"
"06:40:17 AM","1st 9:05","First Half","35","152","1.48","2.53","3.5","NCAA"
