"Time","GameTime","Period","Points","Line","MatchAway","MatchHome","HandicapLine","Type"
"06:20:48 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:21:10 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:21:30 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:21:49 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:22:12 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:22:28 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:22:50 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:23:09 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:23:30 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:23:50 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:24:08 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:24:29 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:24:49 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:25:10 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:25:33 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:25:49 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:26:08 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:26:30 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:26:49 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:27:09 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:27:30 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:27:48 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:28:09 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:28:30 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:28:50 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:29:08 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:29:29 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:29:47 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:30:09 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:30:29 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:30:49 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:09 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:27 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:31:49 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:07 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:28 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:32:47 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:06 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:27 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
"06:33:47 AM","Mar 16-5:50 PM CT",NA,NA,NA,NA,NA,NA,"NCAA"
