Keywords,Placeholder
"aboriginal,aboriginals",Aboriginal
indigenous,Indigenous
"white,whites",White
"australian,australians,aussie",Australian
"racist,racism,racists,racial",Racism
"government,governments,politics,policy,politicians,political,politic,politically",Government
"culture,cultures,cultural,cultured",Culture
"work,working,works,employed,employment,employing,employs,job,jobs",Employment
"drugs,drug,alcohol,alcoholic,booze,liquor",Drugs & Alcohol
"believe,believes,believed",Believe
"hope,hopes,hopeful",Hope
"kill,killed,killing,genocide,genocidal",Killing
"community,communities",Community
"family,families,familys",Family
"generation,generations,generational",Generations
"love,loves,loved",Love
"beautiful,beautifully,beauty",Beautiful
"crime,crimes,criminal,criminals,criminally",Crime
"pauline,hanson,pauline hanson",Pauline Hanson
"domestic violence,domestic violences",Domestic Violence
"celebrate,celebrated,celebrates,celebrating",Celebrate
"educate,education,educational,school,schooling,schools,learning",Education
"arts,art",Art
"abuse,abused,abuses",Abuse
"women,woman,womens,womans",Women
"child,children,childrens,childs",Children
"sad,saddens,sadly",Sad
"happy,happier,happiness",Happy
"invasion,invades,invading",Invasion
one nation,One Nation
"mental health,depressed,depression,anxious,anxiety,suicide,suicidal",Mental Health
"fuck,fucking,shit,shits,fucks,cunt,cunts,bitch,bitches,bastard,fuckwit",Swearing
"coon,nigga,nigger,coons,abo,abos",Derogatory Terms
"guilt,guilty",Guilt
"responsible,responsibility,responsibly",Responsible
"sport,sports,sporting",Sport
"violent,violence",Violence
"stolen,stole,steal",Stolen
"victim,victims,victimize,victimise,victimized,victimised",Victim
"discriminate,discriminated,discrimination,discriminates",Discrimination
"death,dead,dying",Death
"disadvantage,disadvantages,disadvantaged",Disadvantaged
"opportunity,opportunities,opportunitys",Opportunity
"support,supporting,supported",Support
"health,healthy,healthcare,medical,medicine",Health
"teen,teenager,teenagers,teens",Teenage
"elder,elders",Elders
"leader,leaders,leadership",Leadership
"acknowledge,acknowledges,acknowledgement,acknowledged,acknowledging",Acknowledged
"awful,dreadful,terrible,horrible,awfully,dreadfully,terribly,horribly",Negativity
"wage,wages,pay,paid,payed,payment",Wages
"constitution,constitutional,constitutions",Constitution
